Id	Id Usuario	Id Musica	Dt Download
297	37	1773	2021-01-02 10:28:00.027
298	15	3019	2021-01-02 11:00:49.437
299	36	2089	2021-01-02 11:15:17.847
300	36	1986	2021-01-02 11:15:34.203
301	36	2509	2021-01-02 11:15:58.440
302	36	1151	2021-01-02 11:16:31.597
303	36	1457	2021-01-02 11:32:40.440
304	36	2299	2021-01-02 11:33:08.363
305	36	2501	2021-01-02 11:33:08.363
306	56	2176	2021-01-02 11:40:00.363
307	22	2461	2021-01-02 14:57:21.253
308	22	1330	2021-01-02 14:59:52.160
309	26	1265	2021-01-02 15:48:11.340
310	15	1599	2021-01-02 15:48:42.263
311	26	1522	2021-01-02 15:50:58.857
312	26	1835	2021-01-02 15:51:06.433
313	26	1194	2021-01-02 15:51:10.530
314	26	331	2021-01-02 15:53:04.123
315	26	1800	2021-01-02 15:53:06.997
316	23	2445	2020-12-28 23:11:19.547
317	23	926	2020-12-28 23:11:19.547
318	23	1446	2020-12-28 23:11:19.547
319	23	2989	2020-12-28 23:11:19.547
320	16	2305	2020-12-29 11:09:21.167
321	16	155	2020-12-29 11:10:41.900
322	16	1934	2020-12-29 11:11:00.447
323	16	2670	2020-12-29 11:11:21.793
324	16	1549	2020-12-29 11:20:27.323
325	16	928	2020-12-29 11:21:58.153
326	60	2808	2020-12-29 14:42:19.143
327	51	191	2020-12-30 08:31:21.627
328	51	576	2020-12-30 08:31:21.627
329	51	2896	2020-12-30 08:31:21.627
330	51	2702	2020-12-30 08:32:23.610
331	51	1129	2020-12-30 08:32:23.610
332	51	2774	2020-12-30 08:32:23.610
333	31	2218	2020-12-30 08:45:29.460
334	31	2108	2020-12-30 08:45:45.520
335	53	1626	2020-12-30 10:02:55.187
336	60	1155	2020-12-30 14:26:32.123
337	23	2586	2020-12-30 17:24:55.683
338	23	629	2020-12-30 17:26:18.277
339	23	74	2020-12-30 18:45:01.927
340	23	2937	2020-12-30 18:45:10.613
341	49	2897	2020-12-30 19:41:47.900
342	23	3009	2020-12-30 20:29:31.923
343	23	1026	2020-12-30 20:29:31.923
344	23	222	2020-12-30 20:29:31.923
345	23	2147	2020-12-30 20:29:31.923
346	23	331	2020-12-30 20:29:31.923
347	12	273	2020-12-30 20:55:14.250
348	10	361	2020-12-30 23:50:44.513
349	10	2655	2020-12-30 23:52:07.920
350	10	912	2020-12-30 23:55:11.687
351	10	3046	2020-12-31 00:00:20.407
352	10	3039	2020-12-31 00:00:54.780
353	10	535	2020-12-31 00:02:19.437
354	10	928	2020-12-31 00:02:36.953
355	10	2010	2020-12-31 00:03:32.547
356	10	2897	2020-12-31 00:03:41.000
357	10	2256	2020-12-31 01:40:43.373
358	53	1610	2020-12-31 09:22:13.293
359	53	471	2020-12-31 09:22:28.620
360	53	1513	2020-12-31 09:26:06.260
361	37	222	2021-01-02 10:00:54.260
362	37	2809	2021-01-02 10:02:17.913
363	37	1160	2021-01-02 10:02:17.913
364	26	428	2021-01-02 15:53:52.637
365	55	1515	2021-01-02 16:04:18.513
366	55	1837	2021-01-02 16:08:32.327
367	55	407	2021-01-02 16:08:43.297
368	55	512	2021-01-02 16:31:45.407
369	55	1858	2021-01-02 16:32:06.830
370	55	2011	2021-01-02 16:33:56.783
371	55	1833	2021-01-02 16:34:34.737
372	59	1070	2021-01-02 18:09:55.377
373	59	1460	2021-01-02 18:10:02.377
374	59	2834	2021-01-02 18:10:28.657
375	53	2809	2021-01-02 18:30:22.923
376	23	818	2021-01-02 18:45:37.410
377	23	2644	2021-01-02 18:48:59.850
378	23	616	2021-01-02 18:48:59.850
379	23	3002	2021-01-02 18:48:59.850
380	23	834	2021-01-02 18:48:59.850
381	23	865	2021-01-02 18:48:59.850
382	23	754	2021-01-02 18:48:59.850
383	23	2463	2021-01-02 18:48:59.850
384	23	2080	2021-01-02 18:48:59.850
385	23	2385	2021-01-02 18:48:59.850
386	23	250	2021-01-02 18:48:59.850
387	23	2885	2021-01-02 18:48:59.850
388	23	1785	2021-01-02 18:48:59.850
389	23	382	2021-01-02 18:48:59.850
390	23	2657	2021-01-02 18:48:59.850
391	23	2365	2021-01-02 18:48:59.850
392	23	1876	2021-01-02 18:48:59.850
393	23	2170	2021-01-02 18:48:59.850
394	23	2182	2021-01-02 18:48:59.850
395	23	503	2021-01-02 18:48:59.850
396	23	1713	2021-01-02 18:48:59.850
397	23	2289	2021-01-02 18:48:59.850
398	23	2511	2021-01-02 18:48:59.850
399	23	2604	2021-01-02 18:48:59.850
400	23	1048	2021-01-02 18:48:59.850
401	23	3010	2021-01-02 18:48:59.850
402	23	818	2021-01-02 18:48:59.850
403	23	2223	2021-01-02 18:48:59.850
404	23	2626	2021-01-02 18:48:59.850
405	23	753	2021-01-02 18:48:59.850
406	23	1892	2021-01-02 18:48:59.850
407	23	1352	2021-01-02 18:48:59.850
408	23	1774	2021-01-02 18:48:59.850
409	23	3012	2021-01-02 18:48:59.850
410	23	2956	2021-01-02 18:48:59.850
411	23	1794	2021-01-02 18:48:59.850
412	23	2172	2021-01-02 18:48:59.850
413	23	1897	2021-01-02 18:48:59.850
414	23	1765	2021-01-02 18:48:59.850
415	23	1972	2021-01-02 18:48:59.850
416	26	2449	2021-01-02 22:53:09.507
417	14	2550	2021-01-03 12:24:33.257
418	46	1720	2021-01-03 13:28:50.797
419	46	2217	2021-01-03 13:29:12.827
420	46	617	2021-01-03 13:29:42.047
421	46	2602	2021-01-03 13:29:48.563
422	5	1972	2021-01-03 23:24:21.497
423	5	179	2021-01-03 23:28:05.560
424	5	1188	2021-01-03 23:29:12.920
425	5	1640	2021-01-03 23:29:43.060
426	5	2936	2021-01-03 23:30:15.953
427	10	2637	2021-01-03 23:42:42.297
428	10	17	2021-01-03 23:48:16.033
429	5	2541	2021-01-03 23:52:57.173
430	5	157	2021-01-03 23:53:04.470
431	5	1120	2021-01-03 23:53:21.157
432	5	397	2021-01-03 23:53:40.080
433	5	1073	2021-01-03 23:54:02.453
434	5	210	2021-01-03 23:55:06.143
435	5	1154	2021-01-03 23:55:23.690
436	5	1152	2021-01-03 23:55:29.237
437	5	1408	2021-01-03 23:55:32.157
438	5	2284	2021-01-03 23:55:47.503
439	5	32	2021-01-03 23:56:52.127
440	5	1447	2021-01-03 23:57:27.923
441	5	1572	2021-01-03 23:57:37.470
442	5	1956	2021-01-03 23:57:57.003
443	5	1260	2021-01-03 23:58:08.440
444	5	78	2021-01-03 23:58:20.563
445	5	2838	2021-01-03 23:58:51.003
446	5	1935	2021-01-03 23:59:00.597
447	5	2291	2021-01-03 23:59:03.347
448	5	970	2021-01-03 23:59:06.143
449	34	1984	2021-01-04 04:32:30.240
450	34	2051	2021-01-04 04:32:30.240
451	63	2758	2021-01-04 07:28:06.393
452	63	1076	2021-01-04 07:28:19.673
453	62	2757	2021-01-04 07:28:53.777
454	62	1784	2021-01-04 07:31:45.900
455	2	778	2021-01-04 07:44:04.730
456	2	1757	2021-01-04 07:45:10.573
457	2	1578	2021-01-04 08:26:58.033
458	42	2897	2021-01-04 08:55:13.287
459	42	885	2021-01-04 08:55:46.333
460	42	2894	2021-01-04 08:57:19.380
461	42	1384	2021-01-04 08:58:13.067
462	42	2093	2021-01-04 08:59:47.740
463	42	2471	2021-01-04 09:00:12.693
464	53	1428	2021-01-04 09:25:06.087
465	53	2478	2021-01-04 09:51:09.133
466	53	1972	2021-01-04 09:52:08.807
467	53	1854	2021-01-04 09:52:42.400
468	53	1605	2021-01-04 09:52:58.260
469	1	2114	2021-01-04 10:16:29.103
470	51	1399	2020-12-30 08:32:23.610
471	23	1462	2020-12-30 20:29:31.923
472	23	2231	2020-12-30 20:29:31.923
473	23	2135	2020-12-30 20:29:31.923
474	37	167	2021-01-02 10:02:17.913
475	23	2569	2021-01-02 18:48:59.850
476	23	2971	2021-01-02 18:48:59.850
477	23	692	2021-01-02 18:48:59.850
478	23	2694	2021-01-02 18:48:59.850
479	23	1715	2021-01-02 18:48:59.850
480	23	136	2021-01-02 18:48:59.850
481	20	1802	2021-01-04 10:47:09.953
482	20	139	2021-01-04 10:47:17.140
483	20	1507	2021-01-04 10:47:59.780
484	20	944	2021-01-04 10:48:22.360
485	20	2774	2021-01-04 10:48:33.720
486	20	340	2021-01-04 10:48:42.267
487	20	674	2021-01-04 10:51:00.673
488	36	2805	2021-01-04 11:04:16.627
489	36	2418	2021-01-04 11:05:17.580
490	36	1269	2021-01-04 11:05:29.457
491	36	1648	2021-01-04 11:05:50.363
492	36	2688	2021-01-04 11:06:02.410
493	36	1272	2021-01-04 11:06:24.503
494	36	1088	2021-01-04 11:08:08.470
495	36	122	2021-01-04 11:09:05.800
496	36	1288	2021-01-04 11:09:25.253
497	36	2806	2021-01-04 11:16:53.660
498	36	1648	2021-01-04 11:17:12.253
499	36	795	2021-01-04 11:17:25.177
500	36	1272	2021-01-04 11:17:42.130
501	36	1288	2021-01-04 11:18:17.863
502	36	2095	2021-01-04 11:20:42.177
503	36	2367	2021-01-04 11:21:35.643
504	9	1361	2021-01-04 12:20:22.917
505	8	313	2021-01-04 12:25:41.180
506	8	2748	2021-01-04 12:26:21.480
507	8	866	2021-01-04 12:26:41.683
508	8	2105	2021-01-04 12:31:23.340
509	8	2061	2021-01-04 12:33:11.603
510	8	325	2021-01-04 12:36:31.853
511	8	170	2021-01-04 12:39:43.573
512	8	2956	2021-01-04 12:40:06.200
513	8	1720	2021-01-04 12:49:28.027
514	8	132	2021-01-04 12:49:28.027
515	8	612	2021-01-04 12:49:28.027
516	8	274	2021-01-04 12:49:28.027
517	8	1295	2021-01-04 12:49:28.027
518	8	2410	2021-01-04 12:49:28.027
519	8	1790	2021-01-04 12:49:28.027
520	8	220	2021-01-04 12:49:28.027
521	8	2737	2021-01-04 12:49:28.027
522	8	2575	2021-01-04 13:18:42.937
523	8	1053	2021-01-04 13:20:48.157
524	8	80	2021-01-04 13:33:50.440
525	8	1271	2021-01-04 13:34:22.580
526	8	2993	2021-01-04 13:34:43.003
527	8	2522	2021-01-04 13:35:21.220
528	8	2759	2021-01-04 13:43:30.627
529	8	1790	2021-01-04 13:44:31.317
530	8	2100	2021-01-04 13:45:17.723
531	8	2483	2021-01-04 13:45:31.830
532	8	1280	2021-01-04 13:45:46.003
533	8	612	2021-01-04 13:46:10.237
534	48	2637	2021-01-04 14:45:04.870
535	8	2015	2021-01-04 16:00:01.410
536	12	2229	2021-01-04 17:00:25.840
537	12	2266	2021-01-04 17:00:25.840
538	12	1	2021-01-04 17:03:02.510
539	12	1136	2021-01-04 17:03:55.590
540	12	2083	2021-01-04 17:05:31.450
541	12	285	2021-01-04 17:05:31.450
542	12	2072	2021-01-04 17:05:31.450
543	29	77	2021-01-04 17:34:14.410
544	29	1235	2021-01-04 17:34:36.910
545	29	730	2021-01-04 17:34:36.910
546	61	2854	2021-01-04 17:50:18.320
547	54	486	2021-01-04 20:01:36.523
548	8	2626	2021-01-04 20:23:38.980
549	8	2956	2021-01-04 20:24:11.823
550	8	3012	2021-01-04 20:24:50.700
551	8	2873	2021-01-04 20:25:12.183
552	8	3043	2021-01-04 20:25:59.137
553	8	136	2021-01-04 20:26:32.560
554	8	834	2021-01-04 20:27:01.667
555	8	825	2021-01-04 20:36:55.483
556	8	1064	2021-01-04 20:37:32.293
557	8	180	2021-01-04 20:38:00.577
558	8	1367	2021-01-04 20:38:11.327
559	8	242	2021-01-04 20:38:30.747
560	8	2324	2021-01-04 20:39:02.090
561	8	2261	2021-01-04 20:39:31.997
562	8	2250	2021-01-04 20:39:52.687
563	8	1461	2021-01-04 20:44:36.640
564	8	530	2021-01-04 20:44:45.733
565	8	1697	2021-01-04 20:45:20.013
566	8	830	2021-01-04 20:45:28.750
567	8	2265	2021-01-04 20:45:56.373
568	8	227	2021-01-04 20:46:59.967
569	8	2092	2021-01-04 20:47:14.670
570	8	2766	2021-01-04 20:47:30.280
571	8	939	2021-01-04 20:49:51.047
572	8	143	2021-01-04 20:51:05.860
573	8	2403	2021-01-04 20:52:00.623
574	8	2117	2021-01-04 20:52:11.860
575	8	2429	2021-01-04 20:52:26.030
576	8	835	2021-01-04 20:52:44.313
577	8	1635	2021-01-04 21:02:10.953
578	8	233	2021-01-04 21:02:18.437
579	8	1773	2021-01-04 21:02:56.080
580	8	1428	2021-01-04 21:04:12.767
581	8	662	2021-01-04 21:07:09.297
582	8	2280	2021-01-04 21:07:47.470
583	8	1596	2021-01-04 21:08:33.953
584	8	2579	2021-01-04 21:09:02.877
585	8	2688	2021-01-04 21:09:13.877
586	8	165	2021-01-04 21:12:35.143
587	8	1374	2021-01-04 21:13:48.110
588	8	1041	2021-01-04 21:14:07.813
589	8	2963	2021-01-04 21:14:29.253
590	8	1585	2021-01-04 21:15:02.720
591	8	2922	2021-01-04 21:16:27.673
592	8	317	2021-01-04 21:23:35.817
593	8	450	2021-01-04 21:23:49.830
594	8	2398	2021-01-04 21:24:10.533
595	8	636	2021-01-04 21:25:00.770
596	8	2519	2021-01-04 21:25:31.330
597	10	274	2021-01-04 21:56:00.757
598	12	929	2021-01-04 23:10:26.220
599	12	3015	2021-01-04 23:10:58.157
600	12	748	2021-01-04 23:11:20.687
601	12	62	2021-01-04 23:46:30.770
602	49	2228	2021-01-05 00:47:41.660
