"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4K3ReloaWQZmMz6jrLQ34V","Skies on Fire","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","2","214173","https://p.scdn.co/mp3-preview/41ba25654c602adebd0dd2a28e70b6814076a751?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T16:59:45Z"
"spotify:track:6vgEMqEmhSkv2G23nl1VTu","Big Jack","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","3","237066","https://p.scdn.co/mp3-preview/c26e7114f86e9f91504d383acde85d31b2b6c605?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:00:00Z"
"spotify:track:4OrKIUhgiIiOefxwmrVedV","Anything Goes","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","4","202160","https://p.scdn.co/mp3-preview/a8aa317bab417c6486babdbf69ed1f3efb650bbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:00:24Z"
"spotify:track:5YnNWHKCJaJKwbagXDb5Uf","War Machine","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","5","189786","https://p.scdn.co/mp3-preview/26e44c1af74b867d5fae3b7f9ceb13e3655d4a07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:01:47Z"
"spotify:track:6QitPoNJ9DPtBAA5N6LWYA","She Likes Rock N Roll","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","11","232946","https://p.scdn.co/mp3-preview/14afac69e62a873f9af747ec96226428d4b3abf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:02:16Z"
"spotify:track:3Axmw41lmMoXih3NJYzbXb","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7qVfz4UGONwEd5nQjj0ESN","Black Ice","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2008-10-20","https://i.scdn.co/image/ab67616d0000b273107d182a8d39586f8f3f23a0","1","15","205106","https://p.scdn.co/mp3-preview/00c9eb4faeadb3d4749482741df78a7d576c24b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:03:38Z"
"spotify:track:1gij27s31tFKcTHa8f1u4g","Hard as a Rock","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:1zXYNAA57WJ33GgZJHchhX","Ballbreaker","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1995-09-22","https://i.scdn.co/image/ab67616d0000b273dd72be577ed91add8f268f5e","1","1","271000","https://p.scdn.co/mp3-preview/9ba7d65ee884e1fc7efdaa9a33140eb6bd3cb979?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:03:57Z"
"spotify:track:08mG3Y1vljYA6bvDt4Wqkj","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae","1","6","255493","https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:04:35Z"
"spotify:track:2zYzyRzz6pRmhPzyfMEC8s","Highway to Hell","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:10v912xgTZbjAtYfyKWJCS","Highway to Hell","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1979-07-27","https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0","1","1","208400","https://p.scdn.co/mp3-preview/db138a9742397601a1e5fdde727967956bdad0fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:04:39Z"
"spotify:track:57bgtoPSgt236HzfBOd8kj","Thunderstruck","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:4vu7F6h90Br1ZtYYaqfITy","The Razors Edge","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1990-09-24","https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508","1","1","292880","https://p.scdn.co/mp3-preview/df9f0326adc85339110734ed560c5a1cb541adfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:22nmtzajeil4ibztdbjksgfra","2018-02-24T17:04:42Z"
